"Differentiated1" "Differentiated2" "Progenitor" "TICs"
"AKT2" 0.128571428571429 0.235294117647059 0.0381679389312977 0.015625
"ATR" -0.342857142857143 -0.0588235294117647 -0.206106870229008 -0.140625
"AXIN1" 0 0.0588235294117647 0.0152671755725191 0.0390625
"CEBPA" 0.114285714285714 0.176470588235294 0.114503816793893 0.0078125
"CIC" 0.1 0 0 0.0078125
"CTNNB1" -0.0285714285714286 -0.0588235294117647 -0.00763358778625954 -0.0078125
"FANCA" 0 0 0.0305343511450382 0.0390625
"GNAQ" 0.0285714285714286 0.0588235294117647 0.00763358778625954 0
"MLH1" -0.0285714285714286 -0.0588235294117647 -0.00763358778625954 -0.0078125
"MYD88" -0.0285714285714286 -0.0588235294117647 -0.00763358778625954 -0.0078125
"POLD1" 0.685714285714286 0.411764705882353 0.419847328244275 0.3359375
"PPP2R1A" 0.571428571428571 0.470588235294118 0.312977099236641 0.21875
"SETD2" -0.0428571428571429 -0.0588235294117647 -0.0229007633587786 0
"TGFBR2" -0.0285714285714286 -0.0588235294117647 -0.00763358778625954 -0.015625
"TNFRSF14" 0 0.0588235294117647 0.0381679389312977 0.03125
"TP53" -0.2 -0.235294117647059 -0.625954198473282 -0.7421875
"U2AF1" 0.0714285714285714 0.0588235294117647 0.0229007633587786 0.015625
"CBLC" 0.114285714285714 0 0.0305343511450382 0.03125
"U2AF2" 0.3 0.117647058823529 0.083969465648855 0.0390625
