"Differentiated" "Progenitor" "TICs" "Differentiated" "Progenitor" "TICs" "Differentiated" "Progenitor" "TICs"
"AKT2" -0.156862745098039 -0.100418410041841 -0.347826086956522 -0.0943955130713835 -0.081014244033174 -0.256191316767675 -0.219329977124695 -0.119822576050508 -0.439460857145368
"ARID1A" -0.0588235294117647 -0.0376569037656904 -0.0434782608695652 -0.0326744555401414 -0.0298726743784925 -0.02667855300161 -0.084972603283388 -0.0454411331528882 -0.0602779687375204
"ASXL1" 0.0196078431372549 0.0251046025104603 0.072463768115942 0.028687382676013 0.0303617777197852 0.0996148111348596 0.0105283035984968 0.0198474273011354 0.0453127250970245
"ATR" -0.0196078431372549 -0.0251046025104603 0 -0.0105283035984968 -0.0198474273011354 0 -0.028687382676013 -0.0303617777197852 0
"BCL2L1" 0.0196078431372549 0.0292887029288703 0.072463768115942 0.028687382676013 0.0353957505253965 0.0996148111348596 0.0105283035984968 0.023181655332344 0.0453127250970245
"BRAF" 0.254901960784314 0.267782426778243 0.101449275362319 0.344607811427244 0.309899996409458 0.138272877456726 0.165196110141384 0.225664857147027 0.064625673267912
"CDC73" 0.137254901960784 0.100418410041841 0.0144927536231884 0.193184865519534 0.119822576050508 0.0202623502647084 0.0813249384020345 0.081014244033174 0.00872315698166844
"CDK4" 0.0196078431372549 0.0251046025104603 0.0289855072463768 0.028687382676013 0.0303617777197852 0.0403550065105485 0.0105283035984968 0.0198474273011354 0.0176160079822051
"CDK6" 0.588235294117647 0.589958158995816 0.449275362318841 0.702637492305999 0.641920710528328 0.549225139432231 0.473833095929295 0.537995607463304 0.349325585205451
"CIC" -0.117647058823529 -0.0292887029288703 -0.115942028985507 -0.0686175453142357 -0.0231816553323441 -0.0745366883816581 -0.166676572332823 -0.0353957505253965 -0.157347369589356
"EGFR" 0.156862745098039 0.0753138075313808 0.0144927536231884 0.219329977124695 0.0902730657450393 0.0202623502647084 0.0943955130713835 0.0603545493177222 0.00872315698166844
"EP300" -0.0196078431372549 -0.0292887029288703 -0.0144927536231884 -0.0105283035984968 -0.023181655332344 -0.00872315698166844 -0.028687382676013 -0.0353957505253965 -0.0202623502647084
"ETV6" -0.92156862745098 -0.941422594142259 -1 -0.88742955878525 -0.92957702768348 -1 -0.955707696116711 -0.953268160601039 -1
"EZH2" 0.549019607843137 0.510460251046025 0.376811594202899 0.665964077102342 0.564137589342094 0.471670550750242 0.432075138583933 0.456782912749957 0.281952637655555
"FGFR1" -0.647058823529412 -0.527196652719665 -0.478260869565217 -0.539193893808966 -0.473654692325983 -0.377462622357486 -0.754923753249858 -0.580738613113348 -0.579059116772949
"FGFR4" 0.0392156862745098 0.0209205020920502 0 0.0570115837704757 0.0253202839195968 0 0.0214197887785439 0.0165207202645036 0
"FH" 0.137254901960784 0.100418410041841 0.072463768115942 0.193184865519534 0.119822576050508 0.0996148111348596 0.0813249384020345 0.081014244033174 0.0453127250970245
