"Clot-Hep" "CSC" "Prog" "Clot-Hep" "CSC" "Prog" "Clot-Hep" "CSC" "Prog"
"ABL1" 0.0806451612903226 0.0222222222222222 0.018348623853211 0.111316628290561 0.0328388914603968 0.0296135228529324 0.0499736942900837 0.0116055529840476 0.0070837248534896
"AKT2" -0.0806451612903226 -0.111111111111111 -0.055045871559633 -0.0499736942900837 -0.0628535236648628 -0.0389308077128094 -0.111316628290561 -0.159368698557359 -0.0711609354064567
"AXIN1" 0.032258064516129 0 0.0458715596330275 0.0451723664109665 0 0.0594311602808404 0.0193437626212916 0 0.0323119589852147
"BCL6" -0.032258064516129 -0.0222222222222222 -0.00917431192660551 -0.00599898399662624 -0.0116055529840476 -0.00635808717667515 -0.0585171450356318 -0.0328388914603968 -0.0119905366765359
"CALR" -0.161290322580645 -0.0222222222222222 -0.073394495412844 -0.105328347703016 -0.0116055529840476 -0.0523249620985502 -0.217252297458274 -0.0328388914603968 -0.0944640287271379
"CDK6" -0.161290322580645 -0.288888888888889 -0.256880733944954 -0.105328347703016 -0.188513107000693 -0.197740014196417 -0.217252297458274 -0.389264670777085 -0.316021453693492
"CEBPA" 0 -0.0444444444444444 -0.036697247706422 0 -0.0236936818425577 -0.025745262567804 0 -0.0651952070463312 -0.04764923284504
"DOT1L" -0.0967741935483871 -0.111111111111111 -0.0458715596330275 -0.0606141482428423 -0.0628535236648628 -0.0323119589852147 -0.132934238853932 -0.159368698557359 -0.0594311602808403
"EPAS1" 0.161290322580645 0.0666666666666667 0.0825688073394495 0.217252297458274 0.097068946757803 0.106037346922203 0.105328347703016 0.0362643865755303 0.0591002677566966
"EPCAM" 0.161290322580645 0.0222222222222222 0.036697247706422 0.217252297458274 0.0328388914603968 0.04764923284504 0.105328347703016 0.0116055529840476 0.025745262567804
"FANCC" -0.161290322580645 -0.0888888888888889 -0.073394495412844 -0.105328347703016 -0.0493176671829654 -0.0523249620985503 -0.217252297458274 -0.128460110594812 -0.0944640287271378
"FGFR1" -0.17741935483871 -0.111111111111111 -0.0917431192660551 -0.117044993480345 -0.0628535236648628 -0.0659277257250268 -0.237793716197075 -0.159368698557359 -0.117558512807083
"FGFR4" 0.145161290322581 0 0.055045871559633 0.196495640354559 0 0.0711609354064567 0.0938269402906018 0 0.0389308077128093
"GNA11" -0.209677419354839 -0.133333333333333 -0.100917431192661 -0.141124000129743 -0.0768719560212228 -0.0728073360035409 -0.278230838579934 -0.189794710645444 -0.12902752638178
"GNAQ" -0.0967741935483871 -0.222222222222222 -0.110091743119266 -0.0606141482428423 -0.137771444191288 -0.0797390985922389 -0.132934238853932 -0.306673000253157 -0.140444387646293
"IDH2" -0.0161290322580645 -0.0222222222222222 -0.036697247706422 -0.00956426212818882 -0.0116055529840476 -0.025745262567804 -0.0226938023879402 -0.0328388914603968 -0.0476492328450401
"KEAP1" -0.032258064516129 -0.0222222222222222 -0.036697247706422 -0.0193437626212916 -0.0116055529840476 -0.025745262567804 -0.0451723664109665 -0.0328388914603968 -0.0476492328450401
"MAP2K2" -0.274193548387097 -0.2 -0.211009174311927 -0.191864873807508 -0.121822708337078 -0.159430539540054 -0.356522222966685 -0.278177291662922 -0.262587809083799
"MAP3K1" 0.032258064516129 0.0444444444444444 0.0275229357798165 0.0451723664109665 0.0651952070463312 0.0358151530990559 0.0193437626212916 0.0236936818425577 0.0192307184605771
"MDM4" -0.0161290322580645 -0.177777777777778 -0.073394495412844 0.00378051649647655 -0.10635654835733 -0.0523249620985503 -0.0360385810126056 -0.249199007198225 -0.0944640287271378
"MSH2" 0.161290322580645 0.0222222222222222 0.036697247706422 0.217252297458274 0.0328388914603968 0.04764923284504 0.105328347703016 0.0116055529840476 0.025745262567804
"MSH6" 0.161290322580645 0.0222222222222222 0.036697247706422 0.217252297458274 0.0328388914603968 0.04764923284504 0.105328347703016 0.0116055529840476 0.025745262567804
"MYC" -0.032258064516129 -0.0444444444444444 -0.018348623853211 -0.0193437626212916 -0.0236936818425577 -0.0127683266635342 -0.0451723664109665 -0.0651952070463312 -0.0239289210428878
"NOTCH1" 0.0645161290322581 0 0 0.0894837793622771 0 0.00568460181004461 0.039548478702239 0 -0.00568460181004461
"NPM1" 0.17741935483871 0.133333333333333 0.0458715596330275 0.237793716197075 0.189794710645444 0.0594311602808404 0.117044993480345 0.0768719560212228 0.0323119589852147
"NSD1" 0.145161290322581 0 0.055045871559633 0.196495640354559 0 0.0711609354064567 0.0938269402906018 0 0.0389308077128093
"PALB2" -0.129032258064516 0 -0.0642201834862385 -0.0825407712431014 0 -0.0456018087505878 -0.175523744885931 0 -0.0828385582218892
"PIK3R1" 0.0967741935483871 0.0444444444444444 0.0458715596330275 0.132934238853932 0.0651952070463312 0.0594311602808403 0.0606141482428423 0.0236936818425577 0.0323119589852147
"RB1" -0.67741935483871 -0.711111111111111 -0.779816513761468 -0.587019241574848 -0.610735329222915 -0.726621157373895 -0.767819468102572 -0.811486892999308 -0.833011870149041
"RUNX1" -0.0161290322580645 -0.133333333333333 -0.0275229357798165 -0.00956426212818881 -0.0768719560212228 -0.0192307184605772 -0.0226938023879402 -0.189794710645444 -0.0358151530990559
"SOX9" -0.032258064516129 -0.0222222222222222 -0.0458715596330275 -0.0193437626212916 -0.0116055529840476 -0.0323119589852147 -0.0451723664109665 -0.0328388914603968 -0.0594311602808403
"TCF3" -0.0967741935483871 -0.0666666666666667 -0.036697247706422 -0.0606141482428423 -0.0362643865755303 -0.025745262567804 -0.132934238853932 -0.097068946757803 -0.0476492328450401
"TSC1" 0.0806451612903226 0.0222222222222222 0.018348623853211 0.111316628290561 0.0328388914603968 0.0296135228529324 0.0499736942900837 0.0116055529840476 0.0070837248534896
"CBLC" 0.129032258064516 0.133333333333333 0.128440366972477 0.175523744885931 0.189794710645444 0.163121653244767 0.0825407712431014 0.0768719560212228 0.0937590807001867
"FANCD2" 0.0645161290322581 0 0.0275229357798165 0.0894837793622771 0 0.0358151530990559 0.039548478702239 0 0.0192307184605771
"U2AF2" 0.032258064516129 0.0666666666666667 0.00917431192660551 0.0451723664109665 0.0970689467578031 0.0119905366765359 0.0193437626212916 0.0362643865755303 0.00635808717667515
"HSPH1" 0 -0.0222222222222222 -0.073394495412844 0 -0.0116055529840476 -0.0523249620985502 0 -0.0328388914603968 -0.0944640287271379
