"Differentiated" "Progenitor1" "Progenitor2" "TICs"
"ARID1A" -0.416666666666667 -0.625 -0.527272727272727 -0.69047619047619
"BRAF" 0.0277777777777778 0.0555555555555556 0.0181818181818182 0.0476190476190476
"CDH1" -0.444444444444444 -0.5 -0.490909090909091 -0.452380952380952
"CDKN2A" -0.0555555555555556 -0.0138888888888889 -0.127272727272727 -0.166666666666667
"CDKN2B" -0.0555555555555556 -0.0138888888888889 -0.127272727272727 -0.166666666666667
"CREBBP" -0.194444444444444 -0.222222222222222 -0.290909090909091 -0.166666666666667
"CTCF" -0.444444444444444 -0.375 -0.581818181818182 -0.380952380952381
"CYLD" -0.611111111111111 -0.611111111111111 -0.636363636363636 -0.619047619047619
"ERBB3" 0.0277777777777778 0.0277777777777778 0.0545454545454545 0
"EZH2" 0.0555555555555556 0.0833333333333333 0.0727272727272727 0.119047619047619
"FANCA" -0.0277777777777778 -0.0555555555555556 -0.0363636363636364 -0.0714285714285714
"FBXW7" -0.0555555555555556 -0.0277777777777778 -0.0363636363636364 0
"FUBP1" -0.5 -0.402777777777778 -0.509090909090909 -0.571428571428571
"ID3" -0.555555555555556 -0.680555555555556 -0.709090909090909 -0.785714285714286
"KMT2C" 0.111111111111111 0.0694444444444444 0.0727272727272727 0.119047619047619
"MTOR" -0.277777777777778 -0.319444444444444 -0.272727272727273 -0.452380952380952
"MUTYH" -0.333333333333333 -0.291666666666667 -0.309090909090909 -0.547619047619048
"PALB2" -0.361111111111111 -0.0972222222222222 -0.309090909090909 -0.119047619047619
"RAD51C" 0.0833333333333333 0.0138888888888889 0.0181818181818182 0.0238095238095238
"RB1" -0.166666666666667 -0.0277777777777778 -0.0363636363636364 -0.0714285714285714
"RHEB" 0.111111111111111 0.0694444444444444 0.0727272727272727 0.119047619047619
"RNF43" 0.0833333333333333 0.0138888888888889 0.0181818181818182 0.0238095238095238
"SDHB" -0.472222222222222 -0.583333333333333 -0.654545454545455 -0.666666666666667
"SMAD2" -0.25 -0.0694444444444444 -0.254545454545455 -0.30952380952381
"SMAD4" -0.305555555555556 -0.111111111111111 -0.418181818181818 -0.404761904761905
"TET2" -0.444444444444444 -0.194444444444444 -0.236363636363636 -0.357142857142857
"TNFRSF14" -0.0555555555555556 -0.111111111111111 -0.127272727272727 -0.166666666666667
"TP53" 0.0555555555555556 0.0277777777777778 0.0363636363636364 0
"TSC2" -0.138888888888889 -0.111111111111111 -0.181818181818182 -0.119047619047619
"CBLB" -0.0277777777777778 -0.0694444444444444 0 0
"JAK1" -0.527777777777778 -0.694444444444444 -0.709090909090909 -0.785714285714286
