"CSC" "Prog1" "Prog2" "Stress" "CSC" "Prog1" "Prog2" "Stress" "CSC" "Prog1" "Prog2" "Stress"
"ABL1" 0.0588235294117647 0.0569105691056911 0.126582278481013 0.0232558139534884 0.0903227021071105 0.0726210695868216 0.1550842753586 0.0346753590937801 0.027324356716419 0.0412000686245605 0.0980802816034254 0.0118362688131966
"ARID1A" -0.0294117647058824 -0.032520325203252 -0.0189873417721519 -0.0697674418604651 -0.0131700037848447 -0.0233107214729341 -0.0141853749069062 -0.0371401700310601 -0.04565352562692 -0.04172992893357 -0.0237893086373976 -0.10239471368987
"ASXL1" 0.0294117647058824 -0.00813008130081301 0 0.0465116279069767 0.04565352562692 -0.0010100515261134 0 0.0688069303237368 0.0131700037848447 -0.0152501110755126 0 0.0242163254902166
"AXIN1" 0.0588235294117647 0.105691056910569 0.0949367088607595 0.0697674418604651 0.0903227021071104 0.133358563915516 0.117087717303667 0.10239471368987 0.027324356716419 0.0780235499056223 0.0727857004178519 0.0371401700310601
"BAP1" -0.0294117647058824 -0.016260162601626 -0.0379746835443038 -0.0930232558139535 -0.0131700037848447 -0.0115779691084812 -0.0285566324021446 -0.050607802435727 -0.04565352562692 -0.0209423560947709 -0.047392734686463 -0.13543870919218
"BCL2L1" 0.0294117647058824 -0.00813008130081301 0 0.0465116279069767 0.04565352562692 -0.0010100515261134 0 0.0688069303237368 0.0131700037848447 -0.0152501110755126 0 0.0242163254902166
"CDC73" 0 0.024390243902439 0 0.116279069767442 0 0.0313554904211669 0 0.167938916830666 0 0.0174249973837112 0 0.0646192227042172
"CDKN2A" 0.0294117647058824 0.024390243902439 0.0126582278481013 0.0697674418604651 0.04565352562692 0.0313554904211669 0.0158801927125242 0.10239471368987 0.0131700037848447 0.0174249973837112 0.00943626298367835 0.0371401700310601
"CDKN2B" 0.0294117647058824 0.024390243902439 0.0126582278481013 0.0697674418604651 0.04565352562692 0.0313554904211669 0.0158801927125242 0.10239471368987 0.0131700037848447 0.0174249973837112 0.00943626298367835 0.0371401700310601
"ETV6" -0.0294117647058824 -0.00813008130081301 -0.0189873417721519 -0.0465116279069767 -0.0131700037848447 -0.00576963664724412 -0.0141853749069062 -0.0242163254902166 -0.04565352562692 -0.0104905259543819 -0.0237893086373976 -0.0688069303237369
"FH" 0.0588235294117647 0.0487804878048781 0.0949367088607595 0.186046511627907 0.0903227021071105 0.0623627185163974 0.117087717303667 0.262176812563185 0.0273243567164189 0.0351982570933587 0.072785700417852 0.109916210692629
"FUBP1" -0.0588235294117647 -0.032520325203252 -0.0189873417721519 0 -0.027324356716419 -0.0233107214729341 -0.0141853749069062 0 -0.0903227021071105 -0.04172992893357 -0.0237893086373976 0
"H3F3A" 0.205882352941176 0.146341463414634 0.227848101265823 0.232558139534884 0.298903347307119 0.182909007637956 0.273203452818853 0.322283137065748 0.112861358575234 0.109773919191313 0.182492749712793 0.14283314200402
"MCL1" 0 0.040650406504065 0.0759493670886076 0.186046511627907 0 0.0520656716319802 0.0940419390195978 0.262176812563185 0 0.0292351413761499 0.0578567951576174 0.109916210692629
